"Elementary School","Address","Neighborhood","School Hours","Earliest Drop Off Time","After School Hours","Grades","Phone","Website","Contact Page","Provides Before Care","Provides After Care","Before Care Start Time","Before Care Provider","Before Care Info","After Care End Time","After Care Provider","After Care Info","lat","lon"
"LAVIZZO","138 W 109TH ST","Roseland","07:45 AM-02:45 PM","","","PK-8","(773) 535-5300","https://lavizzo.cps.edu","https://lavizzo.cps.edu/apps/contact","","","","","","","","","41.69627"," -87.627153"
"LAWNDALE","3500 W DOUGLAS BLVD","North Lawndale","08:45 AM-03:45 PM","","","PK-8","(773) 534-1635","https://lawndalepanthers.org","https://lawndalepanthers.org/apps/contact","","","","","","","","","41.862968"," -87.712963"
"LEE","6448 S TRIPP AVE","West Lawn","08:15 AM-03:15 PM","8:10 AM","","K-8","(773) 535-2255","https://leelions.org","https://leelions.org/apps/contact","","True","","","","7:00 PM","Community Schools Initiative (CSI)","""Las horas después de la escuela serían Martes y Miércoles y 3:30 PM a 5:00 PM y Jueves 3:30 PM a 7:00 PM."" <a href=""https://www.leelions.org/apps/pages/index.jsp?uREC_ID=188038&type=d&pREC_ID=380369"">[1]</a>
","41.775313"," -87.72889"
"LELAND","512 S LAVERGNE AVE","Austin","08:00 AM-03:00 PM","7:55 AM","3:00PM - 6:00PM","PK-8","(773) 534-6340","https://leland.cps.edu","https://leland.cps.edu/apps/contact","","","","","","","","","41.873595"," -87.749281"
"LENART","8101 S LASALLE ST","Chatham","7:45 AM-2:45 PM","7:00 AM","","PK-8","(773) 535-0040","https://lenart.cps.edu","https://lenart.cps.edu/apps/contact","","True","","","","6:00 pm","Something to Build Upon","""Lenart RGC partners with Something to Build Upon to provide a fee-based option for after school care and enrichment options."" <a href=""https://lenart.cps.edu/apps/pages/index.jsp?uREC_ID=4039361&type=d&pREC_ID=2490419"">[1]</a>
","41.747194"," -87.628046"
"LEWIS","1431 N LEAMINGTON AVE","Austin","08:45 AM-03:45 PM","","","PK-8","(773) 534-3060","https://lewisschoolofexcellence.org","https://lewisschoolofexcellence.org/apps/contact","","True","","","","","ChiMOP, Family Focus","""During the 2023-2024 school year Lewis School of Excellence is partnering with the following After School Programs: - ChiMOP (Chicago Metamorphosis Orchestra Program:The Chicago Metamorphosis Orchestra Project (ChiMOP) empowers youth through access to intensive and creative music learning opportunities on Chicago’s west side. - Family Focus: Family Focus supports enhanced educational opportunities programs to explore science, technology, engineering and math, as well as sports and cultural activities that encourage healthy development, self-confidence and the ability to create positive relationships."" <a href=""https://www.lewisschoolofexcellence.org/apps/pages/index.jsp?uREC_ID=408510&type=d"">[1]</a>
","41.906834"," -87.754556"
"LIBBY","5300 S LOOMIS BLVD","New City","9:00AM - 4:00PM","8:40 AM","MUST APPLY THROUGH YMCA","PK-8","(773) 535-9050","https://libby.cps.edu","https://libby.cps.edu/apps/contact","","True","","","","6:15 PM","YMCA","""Afternoon YMCA 4:15 PM - 6:15 PM"" <a href=""https://www.libby.cps.edu/apps/bell_schedules/"">[1]</a>
","41.797693"," -87.659939"
"LINCOLN","615 W KEMPER PL","Lincoln Park","08:45 AM-03:45 PM","8:25 AM","","K-8","(773) 534-5720","https://www.lincolnelementary.org","https://www.lincolnelementary.org/apps/contact","True","True","7:00am","Right at School","""Before school care with ‘Right at School’ (RAS) begins at 7:00am. This tuition-based program requires registration."" <a href=""https://www.lincolnelementary.org/pdfs/student_handbook_24-25_SY.pdf"">[1]</a>
","6:00pm","Right At School","""After school care with ‘Right at School’ (RAS) is from 3:45-6:00pm."" <a href=""https://www.lincolnelementary.org/pdfs/student_handbook_24-25_SY.pdf"">[1]</a>
","41.924533"," -87.644503"
"LITTLE VILLAGE","2620 S LAWNDALE AVE","South Lawndale","08:00 AM-03:00 PM","","","PK-8","(773) 534-1880","https://lva.cps.edu","https://lva.cps.edu/apps/contact","","","","","","","","","41.843706"," -87.717325"
"LLOYD","2103 N LAMON AVE","Belmont Cragin","08:00 AM - 03:00 PM","7:45 AM","","PK-5","(773) 534-3070","https://lloydschool.org","https://lloydschool.org/apps/contact","","True","","","","6:00 PM","Right at School","""After school care is provided by Right at School until 6:00 PM."" <a href=""https://www.lloydschool.org/apps/pages/index.jsp?uREC_ID=231869&type=d"">[1]</a>
","41.918822"," -87.748521"
"LOCKE J","2828 N OAK PARK AVE","Montclare","7:45 AM-2:45 PM","7:30AM","","PK-8","(773) 534-3300","https://lockeschool.org","https://lockeschool.org/apps/contact","","","","","","","","","41.93177"," -87.79561"
"LOGAN SQUARE","3651 W SCHUBERT AVE","Logan Square","08:15 AM-03:15 PM","8:00AM","3:15-5:30","PK-8","(773) 534-4155","https://jamesmonroeschool.org","https://jamesmonroeschool.org/apps/contact","True","True","","Metropolitan Family Services","""**[Metropolitan Family Services](https://jamesmonroeschool.org/ourpages/auto/2021/4/14/55824908/2022%20Schedule%20_1_.pdf?rnd=1643737879532) provides before and after school programming and care daily at Monroe.**"" <a href=""https://www.logansquareschool.org/apps/pages/index.jsp?uREC_ID=487700&type=d"">[1]</a>
","","Metropolitan Family Services","""we partnered with Metropolitan Family Services to be a part of the state's program to build Community Schools like Monroe with active parent planning and daily after-school programs ranging in the arts, athletics, academic support, and more."" <a href=""https://www.logansquareschool.org/apps/pages/index.jsp?uREC_ID=244022&type=d"">[1]</a>
""**[Metropolitan Family Services](https://jamesmonroeschool.org/ourpages/auto/2021/4/14/55824908/2022%20Schedule%20_1_.pdf?rnd=1643737879532) provides before and after school programming and care daily at Monroe.**"" <a href=""https://www.logansquareschool.org/apps/pages/index.jsp?uREC_ID=487700&type=d"">[2]</a>
","41.929996"," -87.71923"
"LORCA","3231 N SPRINGFIELD AVE","Avondale","08:15 AM-03:15 PM","NONE","3:15-4:15 PM","PK-8","(773) 534-0950","https://lorca.cps.edu","https://lorca.cps.edu/apps/contact","True","True","","Lorca staff","""Lorca staff provide a variety of before or after-school clubs and activities throughout the year."" <a href=""https://www.lorca.cps.edu/apps/pages/index.jsp?uREC_ID=537860&type=d&pREC_ID=1034552"">[1]</a>
","","Lorca staff","""Lorca staff provide a variety of before or after-school clubs and activities throughout the year."" <a href=""https://www.lorca.cps.edu/apps/pages/index.jsp?uREC_ID=537860&type=d&pREC_ID=1034552"">[1]</a>
","41.940034"," -87.724789"
"LOVETT","6333 W BLOOMINGDALE AVE","Austin","08:45 AM-03:45 PM","8:35AM","","PK-8","(773) 534-3130","https://lovettelementary.org","https://lovettelementary.org/apps/contact","","","","","","","","","41.912726"," -87.783925"
"LOWELL","3320 W HIRSCH ST","Humboldt Park","07:30 AM-02:30 PM","","","PK-8","(773) 534-4300","https://lowell.cps.edu","https://lowell.cps.edu/apps/contact","","","","","","","","","41.906527"," -87.710223"
"LOZANO","1501 N GREENVIEW AVE","West Town","08:45 AM-03:45PM","8:15AM","3:45-6:00","PK-8","(773) 534-4750","https://lozano1501.org","https://lozano1501.org/apps/contact","","","","","","","","","41.908894"," -87.665099"
"LYON","2941 N MCVICKER AVE","Belmont Cragin","08:30 AM-03:30 PM","","","PK-8","(773) 534-3120","https://www.marylyonschool.com","https://www.marylyonschool.com/apps/contact","","","","","","","","","41.9342"," -87.77718"
"MADERO","3202 W 28TH ST","South Lawndale","08:00 AM-03:00 PM","7:45 AM","3:00 PM TO 5:30 PM","6-8","(773) 535-4466","https://madero.cps.edu","https://madero.cps.edu/apps/contact","","","","","","","","","41.840965"," -87.70507"
"MADISON","7433 S DORCHESTER AVE","South Shore","07:45 AM-02:45 PM","","","PK-8","(773) 535-0551","https://madison.cps.edu","https://madison.cps.edu/apps/contact","","","","","","","","","41.759556"," -87.590718"
"MANIERRE","1420 N HUDSON AVE","Near North Side","08:30 AM-03:30 PM","8:15 AM","3:30 PM - 5:15 PM (TUTORING HOURS)","PK-8","(773) 534-8456","https://manierreferguson.org","https://manierreferguson.org/apps/contact","","True","","","","","Right at School","""The school offers extended school hours as well as various after school programs to promote collaborative team building activities, sportsmanship, and a safe environment to engage with peers."" <a href=""https://www.manierreferguson.org/apps/pages/index.jsp?uREC_ID=340665&type=d"">[1]</a>
","41.908255"," -87.639832"
"MANN","8050 S CHAPPEL AVE","South Chicago","08:00 AM-03:00 PM","7:45AM","3:00PM-5:00PM","PK-8","(773) 535-6640","http://mann.cps.edu","http://mann.cps.edu/apps/contact","","True","","","","6:00 PM","Youth-Guidance After School Program","""[Youth-Guidance After School Program](/apps/pages/index.jsp?uREC_ID=560209&type=d)"" <a href=""https://www.mann.cps.edu/apps/departments/clubs.jsp"">[1]</a>
""After School Hours
3:00 PM
6:00 PM
180 min"" <a href=""https://www.mann.cps.edu/apps/bell_schedules/"">[2]</a>
","41.748282"," -87.574821"
"MARQUETTE","6550 S RICHMOND ST","Chicago Lawn","08:00 AM-03:00 PM","7:45 AM","3:00 PM - 4:30 PM","PK-8","(773) 535-9260","https://marquettemustangs.org/","https://marquettemustangs.org/apps/contact","","","","","","","","","41.773889"," -87.697036"
"MARSH","9822 S EXCHANGE AVE","South Deering","07:45AM-02:45PM","7:25 AM","","PK-8","(773) 535-6430","https://jlmarsh.org","https://jlmarsh.org/apps/contact","","","","","","","","","41.716596"," -87.552489"
"MASON","4217 W 18TH ST","North Lawndale","08:00 AM-03:00 PM","","","PK-8","(773) 534-1530","https://www.masonelementary.org","https://www.masonelementary.org/apps/contact","","","","","","","","","41.856872"," -87.731678"
"MAYER","2250 N CLIFTON AVE","Lincoln Park","08:30 AM-03:30 PM","","","PK-8","(773) 534-5535","http://mayermagnet.org/","http://mayermagnet.org/apps/contact","True","True","7:00 AM","Right At School","""Before and After School Care With Right At Schools"" <a href=""https://www.mayermagnet.org/apps/staff"">[1]</a>
""Before and After School Care With Right At Schools"" <a href=""https://www.mayermagnet.org/apps/staff/"">[2]</a>
","6:00 PM","Right At School","""Before and After School Care With Right At Schools"" <a href=""https://www.mayermagnet.org/apps/staff"">[1]</a>
""Before and After School Care With Right At Schools"" <a href=""https://www.mayermagnet.org/apps/staff/"">[2]</a>
""Mayer offers tuition-based after-school clubs and after-care through “Right at School” until 6 pm."" <a href=""https://www.mayermagnet.org/apps/pages/index.jsp?uREC_ID=512931&type=d"">[3]</a>
""Right At School is a tuition-based program that offers both before and after school programming for Mayer."" <a href=""https://www.mayermagnet.org/apps/pages/index.jsp?uREC_ID=468464&type=d"">[4]</a>
","41.923211"," -87.657293"
"MAYS","6656 S NORMAL BLVD","Englewood","07:45 AM-02:45 PM","7:45 AM","","PK-8","(773) 535-3892","https://maysacademy.com","https://maysacademy.com/apps/contact","True","True","7:15 am","Mays Academy","""Before School starts at 7:15 am"" <a href=""https://www.maysacademy.com/index.jsp"">[1]</a>
""Before School and After School Programming starts tomorrow, September 3rd. If you have signed your child up, Before School starts at 7:15 am and After School is from 2:45 pm - 5:15 pm."" <a href=""https://www.maysacademy.com/"">[2]</a>
","5:15 pm","Mays Academy","""After School is from 2:45 pm - 5:15 pm."" <a href=""https://www.maysacademy.com/index.jsp"">[1]</a>
""Before School and After School Programming starts tomorrow, September 3rd. If you have signed your child up, Before School starts at 7:15 am and After School is from 2:45 pm - 5:15 pm."" <a href=""https://www.maysacademy.com/"">[2]</a>
","41.772735"," -87.637283"
"MCAULIFFE","1841 N SPRINGFIELD AVE","Hermosa","07:45 AM - 02:45 PM","7:30 AM","3:00 PM - 6:00 PM","PK-8","(773) 534-4400","https://mcauliffees.org","https://mcauliffees.org/apps/contact","","","","","","","","","41.914824"," -87.723937"
"MCCORMICK","2712 S SAWYER AVE","South Lawndale","08:00 AM-03:00 PM","","","PK-5","(773) 535-7252","https://mccormick.cps.edu","https://mccormick.cps.edu/apps/contact","","True","","","","","","""The Wolf Afterschool Newsletter"" <a href=""https://www.mccormick.cps.edu/apps/news/"">[1]</a>
","41.842275"," -87.706306"
"MCCUTCHEON","4865 N SHERIDAN RD","Uptown","08:45 AM-03:45 PM","","3:45 PM-6:00 PM","PK-8","(773) 534-2680","https://mccutcheon.cps.edu","https://mccutcheon.cps.edu/apps/contact","","","","","","","","","41.970957"," -87.654764"
"MCDADE","8801 S INDIANA AVE","Chatham","7:45 AM-2:45 PM","7:30 AM","2:45PM- 6:00PM","K-8","(773) 535-3669","https://mcdadeclassical.org","https://mcdadeclassical.org/apps/contact","","True","","","","6:00PM","Right At School","""Fee-based After School Program, M-F 2:45-6:00PM"" <a href=""https://www.mcdadeclassical.org/"">[1]</a>
","41.734558"," -87.61922"
"MCDOWELL","1419 E 89TH ST","Calumet Heights","7:45 AM-2:45 PM","7:30AM","","PK-5","(773) 535-6404","https://www.memcdowellelementaryschool.com","","","","","","","","","","41.73314"," -87.589595"
"MCKAY","6901 S FAIRFIELD AVE","Chicago Lawn","08:15 AM-03:15 PM","8:00 AM","3:30 PM - 6:00 PM","PK-8","(773) 535-9340","https://mckayschool.org","https://mckayschool.org/apps/contact","","True","","","","6p","McKay’s Virtual Afterschool Program","""McKay’s Virtual Afterschool Program Offered to Scholar’s Grades 1st-8th Program Details: Monday-Thursday 4p-6p: Scholars will participate in various partner programs such as CircEsteem learning different Circus Art; Young Rembrandts Drawing; DIY Art Projects and several other activities including but not limited to Bingo, Kahoot games, memory games, workout activities and scavenger hunts."" <a href=""https://www.mckayschool.org/pdf/NEW Virtual Parent Program Flyer Info Link-.pdf"">[1]</a>
","41.768151"," -87.691792"
"MCNAIR","4820 W WALTON ST","Austin","7:30 AM-2:30 PM","7:20 AM","","PK-8","(773) 534-8980","https://mcnairschool.org","https://mcnairschool.org/apps/contact","","True","","","","4:15pm","","""Our after school programs are held during the Fall and Spring on Tuesday through Thursday from **2:45 - 4:15pm**."" <a href=""https://www.mcnairschool.org/apps/pages/index.jsp?uREC_ID=354017&type=d"">[1]</a>
","41.897827"," -87.746737"
"MCPHERSON","4728 N WOLCOTT AVE","Lincoln Square","7:45 AM - 2:45 PM","7:30 AM","2:45-5:45 PM","PK-8","(773) 534-2625","https://mcpherson.cps.edu","https://mcpherson.cps.edu/apps/contact","True","True","6:45 - 7:45 am","McPherson IB World School","""Morning Care is held before regular school hours from 6:45 to 7: 45 am."" <a href=""https://mcpherson.cps.edu/apps/pages/index.jsp?uREC_ID=4353509&type=d&pREC_ID=2544181"">[1]</a>
","5:45 pm","McPherson IB World School","""After Care is held after regular school hours from 2:45 to 5:45 pm."" <a href=""https://mcpherson.cps.edu/apps/pages/index.jsp?uREC_ID=4353509&type=d&pREC_ID=2544181"">[1]</a>
""- **Aftercare Monitor**
  - Supervise students during our Aftercare Program
  - $17 / hour
  - 2:30 - 5:30 pm (up to 4 hours)"" <a href=""https://mcpherson.cps.edu/apps/news/article/1848319"">[2]</a>
","41.967855"," -87.676294"
"MELODY","3937 W WILCOX ST","West Garfield Park","7:45AM - 2:45PM","7:30 AM","3:00 PM -4:00PM","PK-8","(773) 534-6850","https://melodystem.org","https://melodystem.org/apps/contact","","True","","","","","Family Focus After School Program","""[Family Focus After School Program](http://www.family-focus.org/)"" <a href=""https://www.melodystem.org/apps/pages/index.jsp?uREC_ID=266305&type=d"">[1]</a>
","41.878807"," -87.724667"
"METCALFE","12339 S NORMAL AVE","West Pullman","08:00 AM-03:00 PM","","","PK-8","(773) 535-5590","https://metcalfe.cps.edu","https://metcalfe.cps.edu/apps/contact","","","","","","","","","41.669452"," -87.634311"
"MINOSO","3527 S WALLACE ST","Bridgeport","07:30 AM-02:30 PM","7:15AM","2:30-3:45PM","PK-8","(773) 535-1732","https://www.minosoacademy.org/","https://www.minosoacademy.org/apps/contact","","","","","","","","","41.830001"," -87.641108"
"MIRELES","9000 S EXCHANGE AVE","South Chicago","08:15 AM-03:15 PM","8:00 AM","3:15 PM - 5:00 PM","PK-8","(773) 535-6360","http://mireleselementary.org","http://mireleselementary.org/apps/contact","","","","","","","","","41.731725"," -87.552794"
"MITCHELL","2233 W OHIO ST","West Town","08:15 AM-03:15 PM","7:45 AM","3:30 PM - 6:30 PM","PK-8","(773) 534-7655","https://mitchellschool.org","https://mitchellschool.org/apps/contact","True","True","7:00am","Right at School","""Before care 7:00am-8:15am (Start of School)"" <a href=""https://www.mitchellschool.org/apps/news/show_news.jsp?REC_ID=863022&id=0"">[1]</a>
","6pm","Right at School","""Right at School is the vendor Mitchell uses for after school care."" <a href=""https://www.mitchellschool.org/apps/pages/index.jsp?uREC_ID=555786&type=d"">[1]</a>
""After care 3:15pm - 6pm"" <a href=""https://www.mitchellschool.org/apps/news/show_news.jsp?REC_ID=863022&id=0"">[2]</a>
","41.89209"," -87.68319"
"MOLLISON","4415 S DR MARTIN L KING JR DR","Grand Boulevard","08:45 AM-03:45 PM","8:15 AM","4:00 PM-6:00 PM","PK-8","(773) 535-1804","https://www.mollisonelementary.org","https://www.mollisonelementary.org/apps/contact","","","","","","","","","41.814366"," -87.616624"
"MONARCAS ACADEMY","5815 S HOMAN AVE","Gage Park","08:00 AM-03:00 PM","7:30 AM","3:00 PM - 5:30 PM","PK-5","(773) 535-9280","monarcasacademy.org","http://monarcasacademy.org/apps/contact","","True","","","","","CSI Community Schools","""After-school Programs (CSI Community Schools)"" <a href=""https://www.monarcasacademy.org/apps/departments/"">[1]</a>
""Estamos agregando más actividades después de la escuela para nuestros estudiantes, como fútbol, club de jardinería, clases de cocina, etc."" <a href=""https://www.monarcasacademy.org/apps/pages/index.jsp?uREC_ID=381774&type=d"">[2]</a>
","41.787531"," -87.708185"
"MOOS","1711 N CALIFORNIA AVE","West Town","08:00 AM-03:00 PM","7:45 AM","UNTIL 6:00 PM","PK-8","(773) 534-4340","https://mooselementary.org","https://mooselementary.org/apps/contact","True","True","7:00 AM","Moos Before and After Care Program","""Moos Before and After Care Program"" <a href=""https://www.mooselementary.org/apps/pages/index.jsp?uREC_ID=584183&type=d"">[1]</a>
","6:00 PM","Moos Before and After Care Program","""Moos Before and After Care Program"" <a href=""https://www.mooselementary.org/apps/pages/index.jsp?uREC_ID=584183&type=d"">[1]</a>
","41.912513"," -87.696947"
"MORRILL","6011 S ROCKWELL ST","Chicago Lawn","08:00 AM-03:00 PM","07:55","03:00 PM - 06:00 PM","PK-8","(773) 535-9288","https://morrilleagles.org","https://morrilleagles.org/apps/contact","True","True","","Morrill","""Access FREE before and after school care programs."" <a href=""https://morrilleagles.org/why-morrill/"">[1]</a>
""Access FREE before and after school care programs."" <a href=""https://morrilleagles.org/why-morrill/"">[2]</a>
","","Morrill","""Access FREE before and after school care programs."" <a href=""https://morrilleagles.org/why-morrill/"">[1]</a>
""Access FREE before and after school care programs."" <a href=""https://morrilleagles.org/why-morrill/"">[2]</a>
","41.784321"," -87.688555"
"MORTON","431 N TROY ST","Humboldt Park","08:45 AM-03:45 PM","8:30 AM","4:00 PM - 6:00 PM","PK-8","(773) 534-6791","https://mortonschool.org","https://mortonschool.org/apps/contact","True","True","8:30 AM","","""Earliest Drop Off

8:30 AM"" <a href=""https://www.mortonschool.org/apps/bell_schedules/"">[1]</a>
","6:00 PM","","""After School Hours

4:00 PM

6:00 PM"" <a href=""https://www.mortonschool.org/apps/bell_schedules/"">[1]</a>
","41.889186"," -87.705114"
"MOSAIC","6710 N WASHTENAW AVE","West Ridge","08:15 AM-03:15 PM","","3:15 - 4:30","PK-8","(773) 534-2160","http://mosaic.cps.edu","","","True","","","","","YMCA","""YMCA After-School Programs"" <a href=""http://mosaic.cps.edu/mosaic-minute.html"">[1]</a>
""[YMCA After-School Programs](/ymca-after-school-programs.html)"" <a href=""http://mosaic.cps.edu/student-resources.html"">[2]</a>
""- [YMCA After-School Programs](/ymca-after-school-programs.html)"" <a href=""http://mosaic.cps.edu/expressive-arts.html"">[3]</a>
""## YMCA After-School Programs"" <a href=""http://mosaic.cps.edu/ymca-after-school-programs.html"">[4]</a>
","42.003419"," -87.697469"
"MOUNT GREENWOOD","10841 S HOMAN AVE","Mount Greenwood","7:45 AM-2:45 PM","7:45","","PK-8","(773) 535-2786","https://mtgreenwood.cps.edu","","True","True","6:30am","Ivy League Kids","""6:30am until school starts."" <a href=""https://mtgreenwood.cps.edu/EVENTS2324/beforeafterschool.pdf"">[1]</a>
""- [Before and After School Care 2023-2024](EVENTS2324/beforeafterschool.pdf)"" <a href=""https://mtgreenwood.cps.edu/index.html"">[2]</a>
","6:00pm","Ivy League Kids","""After school until 6:00pm."" <a href=""https://mtgreenwood.cps.edu/EVENTS2324/beforeafterschool.pdf"">[1]</a>
""- [Before and After School Care 2023-2024](EVENTS2324/beforeafterschool.pdf)"" <a href=""https://mtgreenwood.cps.edu/index.html"">[2]</a>
","41.695742"," -87.705816"
"MOUNT VERNON","10540 S MORGAN ST","Washington Heights","07:45 AM-02:45 PM","7:45AM","3:00PM - 4:30PM","PK-8","(773) 535-2825","https://mtvernon.cps.edu","https://mtvernon.cps.edu/apps/contact","True","True","7:45 AM","","""Arrival

7:45 AM

—

—"" <a href=""https://www.mtvernon.cps.edu/apps/bell_schedules/"">[1]</a>
","4:30 PM","","""After School Program

3:00 PM

4:30 PM

90 min"" <a href=""https://www.mtvernon.cps.edu/apps/bell_schedules/"">[1]</a>
","41.70196"," -87.647658"
"MOZART","2200 N HAMLIN AVE","Logan Square","8:00 AM-3:00 PM","07:30 AM","03:00 PM - 04:30 PM (LIMITED SEATS)","PK-8","(773) 534-4160","https://mozartmustangs.org","https://mozartmustangs.org/apps/contact","True","True","","SOMOS UNO","""Registration for the SOMOS UNO Before & After School Program is now open! Our SOMOS UNO before and after school program is free of cost and offers fun, educational clubs for all students and families."" <a href=""https://www.mozartmustangs.org/"">[1]</a>
""Registration for the SOMOS UNO Before & After School Program is now open! Our SOMOS UNO before and after school program is free of cost and offers fun, educational clubs for all students and families."" <a href=""https://www.mozartmustangs.org/index.jsp"">[2]</a>
","","SOMOS UNO","""Registration for the SOMOS UNO Before & After School Program is now open! Our SOMOS UNO before and after school program is free of cost and offers fun, educational clubs for all students and families."" <a href=""https://www.mozartmustangs.org/"">[1]</a>
""The Puerto Rican Arts Alliance 21st Century Community Learning Centers (21st CCLC) Program, Somos Uno, provides high-quality, hands-on academic and personal enrichment through Reading/ELA, Science, Technology, Engineering, Music, Art, Dance, Mathematics (STEAM), character education, health & nutrition, and physical activity."" <a href=""https://www.mozartmustangs.org/apps/pages/index.jsp?uREC_ID=564313&type=d"">[2]</a>
""Registration for the SOMOS UNO Before & After School Program is now open! Our SOMOS UNO before and after school program is free of cost and offers fun, educational clubs for all students and families."" <a href=""https://www.mozartmustangs.org/index.jsp"">[3]</a>
","41.920918"," -87.721894"
"MURPHY","3539 W GRACE ST","Irving Park","08:00 AM-03:00PM","7:50 AM","","PK-8","(773) 534-5223","http://www.murphy.cps.edu/","http://www.murphy.cps.edu/apps/contact","","","","","","","","","41.950086"," -87.716838"
"MURRAY","5335 S KENWOOD AVE","Hyde Park","8:45 AM - 3:45PM","8:35AM","","K-8","(773) 535-0585","https://murray.cps.edu","https://murray.cps.edu/contact.html","","","","","","","","","41.798543"," -87.593346"
"NASH","4837 W ERIE ST","Austin","MON - THU8:00 AM - 3:15 PM, F8:00 AM - 2:00 PM","7:50 AM","3:15 PM-5:00 PM","PK-8","(773) 534-6125","https://nashelementary.org","https://nashelementary.org/apps/contact","","","","","","","","","41.891818"," -87.747942"
"NATIONAL TEACHERS","55 W CERMAK RD","Near South Side","08:30 AM-03:30 PM","8:00 AM","3:30-6:00 PM","PK-8","(773) 534-9970","https://ntacourage.org","https://ntacourage.org/apps/contact","","True","","","","","Right At School and Park District","""We have two after school options - Right At School and Park District."" <a href=""https://ntacourage.org/apps/pages/index.jsp?uREC_ID=1972627&type=d&pREC_ID=2481567"">[1]</a>
","41.852808"," -87.629314"
"NEIL","8555 S MICHIGAN AVE","Chatham","08:45 AM-03:45 PM","8:15 AM","","PK-8","(773) 535-3000","https://neil.cps.edu","https://neil.cps.edu/apps/contact","","","","","","","","","41.738414"," -87.620939"
"NETTELHORST","3252 N BROADWAY ST","Lake View","08:15 AM-03:15 PM","8:00AM","3:00PM-6:00PM","PK-8","(773) 534-5810","https://nettelhorst.org","https://nettelhorst.org/apps/contact","True","True","7:30-8:05 a.m.","Happy Start etc.","""Programming before & after school is offered through Right-at-School."" <a href=""https://www.nettelhorst.org/apps/pages/index.jsp?uREC_ID=273426&type=d"">[1]</a>
""Breakfast is served in the cafeteria for children arriving early for programs (Happy Start etc.) from 7:30-8:05 a.m."" <a href=""https://www.nettelhorst.org/apps/pages/index.jsp?uREC_ID=273423&type=d"">[2]</a>
","5:00pm","CAC Instructors and Right-at-School","""Programming before & after school is offered through Right-at-School."" <a href=""https://www.nettelhorst.org/apps/pages/index.jsp?uREC_ID=273426&type=d"">[1]</a>
""- [Right-at-School](https://www.rightatschool.com/get-started/)"" <a href=""https://www.nettelhorst.org/apps/pages/index.jsp?uREC_ID=454712&type=d"">[2]</a>
""CAC Instructors pick students up from the Nettelhorst Cafeteria and walk them to LVAC."" <a href=""https://www.nettelhorst.org/apps/pages/index.jsp?uREC_ID=344027&type=d&pREC_ID=644582"">[3]</a>
","41.941644"," -87.644567"
"NEW FIELD","1707 W MORSE AVE","Rogers Park","08:45 AM-03:45 PM","8:30 AM","","PK-4","(773) 534-2760","https://newfield.cps.edu","https://newfield.cps.edu/contact.html","True","True","7:30-8:45AM","YMCA","""NewField is partnering with the YMCA to offer on-site, fee-based before and aftercare. Fee-based aftercare is available five days per week. The program will provide homework help, enrichment programming, and physical activity."" <a href=""https://newfield.cps.edu/Events2324/2023-2024%20New%20Field%20Family%20Handbook%20(English).pdf"">[1]</a>
","6:00PM","YMCA","""Fee-based aftercare is available five days per week. The program will provide homework help, enrichment programming, and physical activity."" <a href=""https://newfield.cps.edu/Events2324/2023-2024%20New%20Field%20Family%20Handbook%20(English).pdf"">[1]</a>
","42.00771"," -87.673174"
"NEW SULLIVAN","8331 S MACKINAW AVE","South Chicago","8:30 AM-3:30 PM","8:00 AM","3:30 PM - 5:15 PM","PK-8","(773) 535-6585","https://newsullivan.cps.edu","https://newsullivan.cps.edu/apps/contact","","","","","","","","","41.743836"," -87.542933"
"NEWBERRY","700 W WILLOW ST","Lincoln Park","7:30 AM-2:30 PM","","","PK-8","(773) 534-8000","http://www.newberryacademy.org","http://www.newberryacademy.org/apps/contact","","True","","","","","Right At School","""- **OST Programs**<br>- [Right At School](/apps/pages/index.jsp?uREC_ID=538752&type=d&termREC_ID=&pREC_ID=1035909)"" <a href=""https://www.newberryacademy.org/apps/pages/index.jsp?uREC_ID=538752&type=d"">[1]</a>
""Newberry After School Programming Sign Ups"" <a href=""https://www.newberryacademy.org/"">[2]</a>
","41.913955"," -87.645996"
"NICHOLSON","6006 S PEORIA ST","Englewood","08:45 AM-03:45 PM","8:30 AM","3:45 PM - 5:00 PM","PK-8","(773) 535-3285","https://www.nicholsonstemacademy.org","https://www.nicholsonstemacademy.org/apps/contact","True","True","8:30 AM","","""Early Arrival | 8:30 AM | 8:45 AM | 15 min"" <a href=""https://www.nicholsonstemacademy.org/apps/bell_schedules/"">[1]</a>
","5:00 PM","","""After School Hours | 3:45 PM | 5:00 PM | 75 min"" <a href=""https://www.nicholsonstemacademy.org/apps/bell_schedules/"">[1]</a>
","41.78495"," -87.647459"
"NIGHTINGALE","5250 S ROCKWELL ST","Gage Park","08:00 AM-03:00 PM","","","PK-8","(773) 535-9270","http://nightingale.cps.edu","http://nightingale.cps.edu/contact/","","","","","","","","","41.797722"," -87.689145"
"NINOS HEROES","8344 S COMMERCIAL AVE","South Chicago","07:45 AM-02:45 PM","","","PK-8","(773) 535-6694","https://ninosheroes.org","https://ninosheroes.org/apps/contact","","True","","","","","","""21st Century After School Clubs"" <a href=""https://www.ninosheroes.org/apps/pages/index.jsp?uREC_ID=294885&type=d"">[1]</a>
""After-school programming"" <a href=""https://www.ninosheroes.org/apps/bell_schedules/"">[2]</a>
","41.743761"," -87.551867"
